Region,State,District,Location,Plant name ,Owner,Sector,Status,Unit,Capacity (MW),Commissioning year,Boiler,Coal Source,Import country,Port,Type plant,Coal Type,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Ultra Mega Power Project ,Reliance ADA Group,Private,Planned,3,660.0,2022.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2520611,80.1207483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Ultra Mega Power Project ,Reliance ADA Group,Private,Planned,4,660.0,2023.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2520611,80.1207483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Ultra Mega Power Project ,Reliance ADA Group,Private,Planned,5,660.0,2024.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2520611,80.1207483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Ultra Mega Power Project ,Reliance ADA Group,Private,Planned,6,660.0,2025.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2520611,80.1207483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Prakasam ,Kanaparti,Vodarevu Mega Power Project,Andhra Pradesh Power Generation Corporation (APGENCO),State,Cancelled,1,800.0,2017.0,Super-Critical,other,Indonesia,"Krishnapatnam, Kakinada",Coastal,Blended,15.8,80.39,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Prakasam ,Kanaparti,Vodarevu Mega Power Project,Andhra Pradesh Power Generation Corporation (APGENCO),State,Cancelled,2,800.0,2018.0,Super-Critical,other,Indonesia,"Krishnapatnam, Kakinada",Coastal,Blended,15.8,80.39,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Prakasam ,Kanaparti,Vodarevu Mega Power Project,Andhra Pradesh Power Generation Corporation (APGENCO),State,Cancelled,3,800.0,2019.0,Super-Critical,other,Indonesia,"Krishnapatnam, Kakinada",Coastal,Blended,15.8,80.39,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Prakasam ,Kanaparti,Vodarevu Mega Power Project,Andhra Pradesh Power Generation Corporation (APGENCO),State,Cancelled,4,800.0,2020.0,Super-Critical,other,Indonesia,"Krishnapatnam, Kakinada",Coastal,Blended,15.8,80.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Prakasam ,Kanaparti,Vodarevu Mega Power Project,Andhra Pradesh Power Generation Corporation (APGENCO),State,Cancelled,5,800.0,2019.0,Super-Critical,other,Indonesia,"Krishnapatnam, Kakinada",Coastal,Blended,15.8,80.39,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Srikakulam,Kakarapalli,Bhavanapadu Thermal Power Project Phase I,East Coast Energy Private Limited,Private,Cancelled,1,660.0,2018.0,Super-Critical,other,India,Krishnapattanam,Coastal,Blended,18.5213851,84.2393124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern,Andhra Pradesh,Srikakulam,Kakarapalli,Bhavanapadu Thermal Power Project Phase II,East Coast Energy Private Limited,Private,Cancelled,2,660.0,2019.0,Super-Critical,other,India,Krishnapattanam,Coastal,Blended,18.5213851,84.2393124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern,Andhra Pradesh,Srikakulam,Sompeta,Sompeta Thermal Power Project,NCC Power Projects Limited (Nagarjuna Construction Company Limited),Private,Planned,1,660.0,2025.0,Super-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,18.93,84.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Srikakulam,Sompeta,Sompeta Thermal Power Project,NCC Power Projects Limited (Nagarjuna Construction Company Limited),Private,Planned,2,660.0,2025.0,Super-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,18.93,84.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Srikakulam,Sompeta,Sompeta Thermal Power Project,NCC Power Projects Limited (Nagarjuna Construction Company Limited),Private,Planned,3,660.0,2025.0,Super-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,18.93,84.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Srikakulam,Sompeta,Sompeta Thermal Power Project,NCC Power Projects Limited (Nagarjuna Construction Company Limited),Private,Planned,4,660.0,2025.0,Super-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,18.93,84.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Srikakulam,Polaki,Srikakulam Thermal Power Project,Andhra Pradesh Power Generation Corporation (APGENCO); Sumitomo Corporation,State,Announced,1,1000.0,2020.0,Ultra Super-Critical,Telisahi Coal bloccks- Angul,India,none,Coastal,Domestic,18.3,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
